Description, Quantity, Cost, Amount, Link
Detention Basin Seed Mix, 1/10 acre, 196, for 1/8 acre coverage, https://www.prairiemoon.com/detention-basin-mix.html
Crimson Cover cover crop, 1, 3.00, for 1 lb, https://onegreenworld.com/product/crimson-clover/
Shiitake Plug Spawn, 1, 14.95, for 100 plugs, https://fungi.com/collections/plug-spawn-for-logs-stumps/products/shiitake-plug-spawn-100-plugs
Reishi Plug Spawn, 1, 14.95, for 100 plugs, https://fungi.com/collections/plug-spawn-for-logs-stumps/products/reishi-plug-spawn-100-plugs
Lion's Mane Plug Spawn, 1, 14.95, for 100 plugs, https://fungi.com/collections/plug-spawn-for-logs-stumps/products/lions-mane-plug-spawn-100-plugs
True Morel Grain Master Bag, 1, 69.00, for ~1.5 gallon?, https://fungi.com/collections/mushroom-grain-spawn/products/true-morel-grain-master-bag
Jumbo Ostrich Fern, 1, 19.95, for 1 gallon, https://onegreenworld.com/product/jumbo-ostrich-2/
Pawpaws from Triple P Assortment, 1, 99.99, for 2 pawpaw and 1 persimmon, https://www.starkbros.com/products/fruit-trees/fruit-tree-assortments/triple-p-assortment
Woodchips from local tree removal, 4 cu yards, 0, ,
"Stumps sourced from yard, craigslist and neighbors", 24 stumps, 0, ,
Apple - Arkansas Black, 1, 32.99, for 1 semi-dwarf, https://www.starkbros.com/products/fruit-trees/apple-trees/starkspur-arkansas-black-apple
Apple - Whitney Crabapple, 1, 26.99, for 1 semi-dwarf, https://www.starkbros.com/products/fruit-trees/apple-trees/whitney-crabapple
Bing Sweet Cherry, 1, 29.99, for 1 semi-dwarf, https://www.starkbros.com/products/fruit-trees/cherry-trees/bing-sweet-cherry
Windsor Sweet Cherry, 1, 26.99, for 1 semi-dwarf, https://www.starkbros.com/products/fruit-trees/cherry-trees/windsor-sweet-cherry
Persimmon from Triple P Assortment, 1, 99.99, for 2 pawpaw and 1 persimmon, https://www.starkbros.com/products/fruit-trees/fruit-tree-assortments/triple-p-assortment
Comfrey Bocking #14, 1, 20, for 25 cuttings, http://marshcreekfarmstead.blogspot.com/p/items-for-sale.html
